snapshot_date,ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,stage_raw,stage_variant,stage_classification,stage_display,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,combined_bucket,final_combined_score,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,public_action,super_action
2026-06-29,BAYERCROP.NS,Bayer Cropscience Limited,Chemicals,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,5.0,1.51,0.27,1.97,False,False,Weak Structure,Exit / Avoid
2026-06-29,BBL.NS,Bharat Bijlee Limited,Capital Goods,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,43.98,0.71,0.23,0.98,True,False,Base Building,Watchlist / Early base
2026-06-29,BBOX.NS,Black Box Limited,Information Technology,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,36.5,0.41,0.24,0.37,True,True,Not Sure,No Action
2026-06-29,BBTC.NS,Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,27.52,1.09,0.22,1.45,False,False,Weak Structure,Exit / Avoid
2026-06-29,BDL.NS,Bharat Dynamics Limited,Capital Goods,Unknown,True,F&O,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,26.45,1.32,0.25,1.34,False,False,Base Building,Watchlist / Early base
2026-06-29,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,25.67,0.68,0.19,0.57,True,True,Weak Structure,Exit / Avoid
2026-06-29,BEL.NS,Bharat Electronics Limited,Capital Goods,Unknown,True,F&O,Stage 1,Stage 1,Stage 1 - Base/Repair,Stage 1 - Base/Repair,Stage 1 • Stage 1 - Base/Repair,0.7,Price is near long-term moving averages with no strong long-term downtrend signal.,,,,,watchlist,14.75,1.16,0.37,1.02,False,False,Base Building,Watchlist / Early base
2026-06-29,BEML.NS,BEML Limited,Capital Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,37.68,0.77,0.61,0.61,True,True,Weak Structure,Exit / Avoid
2026-06-29,BERGEPAINT.NS,Berger Paints (I) Limited,Consumer Durables,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,24.4,1.59,0.24,0.77,False,True,Base Building,Watchlist / Early base
2026-06-29,BHARATFORG.NS,Bharat Forge Limited,Capital Goods,Unknown,True,F&O,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,56.14,1.02,0.3,1.1,False,False,Not Sure,No Action
