ticker,Company Name,Industry,sector,industry_group,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_classification,stage_display,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,rs_3m_pct,rs_6m_pct,avg_turnover_inr,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes,daily_setup_bucket,daily_score,final_daily_score,daily_pivot,daily_breakout_distance_pct,daily_contraction_depths_pct,daily_contraction_durations,daily_contraction_score,daily_base_duration_days,current_rank
PCBL.NS,PCBL LIMITED,Chemicals,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,Stage 2 reclaimed after 3 confirmation runs.,,2026-09-17,,11.47,48.06,495757855.26,1.0,0.9,0.37,False,True,"Stage 2, Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,59.28,61.78,346.61,-2.86,"[16.46, 6.93]","[13, 10]",0.9,25.0,31
GRAPHITE.NS,Graphite India Limited,Capital Goods,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-17,,38.0,50.01,3129878672.46,2.59,0.83,0.86,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,59.2,61.7,875.88,-5.14,"[28.96, 9.35]","[39, 9]",0.9,74.0,32
EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-17,,12.25,37.43,414672346.53,1.71,12.79,3.35,False,False,"Stage 2, Clean Stage 2, trend_template_ok",watchlist,56.14,61.14,2047.6,-2.14,"[9.93, 10.64]","[16, 11]",0.1,43.0,33
VOLTAMP.NS,Voltamp Transformers Limited,Capital Goods,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-09-17,,7.78,31.74,460511950.93,0.59,0.54,0.49,True,True,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",watchlist,58.49,60.99,11699.0,-7.01,"[30.42, 17.65]","[11, 24]",0.9,60.0,34
GRANULES.NS,Granules India Limited,Healthcare,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-17,,16.95,52.22,1300267555.94,1.93,1.06,1.24,False,False,"Stage 2, Clean Stage 2, trend_template_ok",watchlist,55.67,60.67,884.55,-1.02,"[10.34, 7.59]","[12, 18]",0.9,34.0,35
HAL.NS,Hindustan Aeronautics Limited,Capital Goods,Unknown,Unknown,True,F&O,1,Stage 2,Stage 2,Messy Stage 2,Messy Stage 2,Stage 2 • Messy Stage 2,0.64,"Long-term structure is still constructive, but the short-term/weekly structure is not clean.",,,2026-09-17,,13.24,33.34,3718690246.54,1.04,1.06,0.66,False,True,"Stage 2, Messy Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",watchlist,58.1,60.6,5149.9,-6.79,"[14.22, 8.6]","[21, 12]",0.9,83.0,36
WSTCSTPAPR.NS,West Coast Paper Mills Limited,Forest Materials,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-09-17,,58.93,90.09,210009873.19,1.11,1.64,1.0,False,False,"Stage 2, Extended Stage 2, trend_template_ok",watchlist,55.47,60.47,656.15,17.09,"[12.75, 9.06, 10.39]","[17, 5, 10]",0.55,64.0,37
CRAFTSMAN.NS,Craftsman Automation Limited,Automobile and Auto Components,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-17,,20.25,62.91,707995490.02,1.03,4.24,1.62,False,False,"Stage 2, Clean Stage 2, trend_template_ok",watchlist,55.38,60.38,10979.18,1.45,[8.04],[43],0.0,43.0,38
RAYMOND.NS,Raymond Limited,Textiles,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-09-17,,64.46,182.39,4768111015.0,3.4,0.56,4.82,False,False,"Stage 2, Extended Stage 2, trend_template_ok",watchlist,55.2,60.2,660.1,48.16,"[11.54, 7.28]","[11, 5]",0.9,32.0,39
JINDALSAW.NS,Jindal Saw Limited,Capital Goods,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-17,,15.43,51.5,1080384662.01,0.84,0.77,0.76,True,True,"Stage 2, Clean Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",watchlist,57.58,60.08,320.31,-9.62,"[17.12, 8.67]","[5, 27]",0.9,38.0,40
