Company Name,Industry,Symbol,Series,ISIN Code,f&o
ICICI Prudential Life Insurance Company Limited,Financial Services,ICICIPRULI,EQ,INE726G01019,F&O
Indo Count Industries Limited,Textiles,ICIL,EQ,INE483B01026,#N/A
ICRA Limited,Financial Services,ICRA,EQ,INE725G01011,#N/A
IDBI Bank Limited,Financial Services,IDBI,EQ,INE008A01015,#N/A
Vodafone Idea Limited,Telecommunication,IDEA,EQ,INE669E01016,F&O
IDFC First Bank Limited,Financial Services,IDFCFIRSTB,EQ,INE092T01019,F&O
Indian Energy Exchange Limited,Financial Services,IEX,EQ,INE022Q01020,F&O
IFB Industries Limited,Consumer Durables,IFBIND,EQ,INE559A01017,#N/A
IFCI Limited,Financial Services,IFCI,EQ,INE039A01010,#N/A
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021,#N/A
Indraprastha Gas Limited,"Oil, Gas & Consumable Fuels",IGL,EQ,INE203G01027,#N/A
IIFL Finance Limited,Financial Services,IIFL,EQ,INE530B01024,#N/A
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022,#N/A
Imagicaaworld Entertainment Limited,Consumer Services,IMAGICAA,EQ,INE172N01012,#N/A
Indian Metals & Ferro Alloys Limited,Metals & Mining,IMFA,EQ,INE919H01018,#N/A
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017,#N/A
The Indian Hotels Company Limited,Consumer Services,INDHOTEL,EQ,INE053A01029,F&O
The India Cements Limited,Construction Materials,INDIACEM,EQ,INE383A01012,#N/A
Indiamart Intermesh Limited,Consumer Services,INDIAMART,EQ,INE933S01016,#N/A
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,F&O
InterGlobe Aviation Limited,Services,INDIGO,EQ,INE646L01027,F&O
Indigo Paints Limited,Consumer Durables,INDIGOPNTS,EQ,INE09VQ01012,#N/A
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,F&O
Indus Towers Limited,Telecommunication,INDUSTOWER,EQ,INE121J01017,F&O
Infosys Limited,Information Technology,INFY,EQ,INE009A01021,F&O
Ingersoll Rand (India) Limited,Capital Goods,INGERRAND,EQ,INE177A01018,#N/A
INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034,#N/A
Inox Wind Limited,Capital Goods,INOXWIND,EQ,INE066P01011,F&O
Intellect Design Arena Limited,Information Technology,INTELLECT,EQ,INE306R01017,#N/A
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,#N/A
Indian Oil Corporation Ltd.,"Oil, Gas & Consumable Fuels",IOC,EQ,INE242A01010,F&O
ION Exchange (India) Limited,Construction,IONEXCHANG,EQ,INE570A01022,#N/A
IPCA Laboratories Limited,Healthcare,IPCALAB,EQ,INE571A01038,#N/A
IRB Infrastructure Developers Limited,Construction,IRB,EQ,INE821I01022,#N/A
Ircon International Limited,Construction,IRCON,EQ,INE962Y01021,#N/A
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,#N/A
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,F&O
Indian Railway Finance Corporation Limited,Financial Services,IRFC,EQ,INE053F01010,F&O
Isgec Heavy Engineering Limited,Construction,ISGEC,EQ,INE858B01029,#N/A
ITC Limited,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,F&O
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,#N/A
India Tourism Development Corporation Limited,Consumer Services,ITDC,EQ,INE353K01014,#N/A
ITI Limited,Telecommunication,ITI,EQ,INE248A01017,#N/A
The Jammu & Kashmir Bank Limited,Financial Services,J&KBANK,EQ,INE168A01041,#N/A
Jai Corp Limited,Capital Goods,JAICORPLTD,EQ,INE070D01027,#N/A
Jamna Auto Industries Limited,Automobile and Auto Components,JAMNAAUTO,EQ,INE039C01032,#N/A
Jayaswal Neco Industries Limited,Capital Goods,JAYNECOIND,EQ,INE854B01010,#N/A
JB Chemicals & Pharmaceuticals Limited,Healthcare,JBCHEPHARM,EQ,INE572A01036,#N/A
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051,#N/A
Jindal Saw Limited,Capital Goods,JINDALSAW,EQ,INE324A01024,#N/A
Jindal Steel & Power Limited,Metals & Mining,JINDALSTEL,EQ,INE749A01030,F&O
Jindal Worldwide Limited,Textiles,JINDWORLD,EQ,INE247D01039,#N/A
Jio Financial Services Limited,Financial Services,JIOFIN,EQ,INE758E01017,F&O
Jain Irrigation Systems Limited,Capital Goods,JISLJALEQS,EQ,INE175A01038,#N/A
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,#N/A
J.Kumar Infraprojects Limited,Construction,JKIL,EQ,INE576I01022,#N/A
JK Lakshmi Cement Limited,Construction Materials,JKLAKSHMI,EQ,INE786A01032,#N/A
JK Paper Limited,Forest Materials,JKPAPER,EQ,INE789E01012,#N/A
JK Tyre & Industries Limited,Automobile and Auto Components,JKTYRE,EQ,INE573A01042,#N/A
Jupiter Life Line Hospitals Limited,Healthcare,JLHL,EQ,INE682M01012,#N/A
JM Financial Limited,Financial Services,JMFINANCIL,EQ,INE780C01023,#N/A
Jaiprakash Power Ventures Limited,Power,JPPOWER,EQ,INE351F01018,#N/A
Jindal Stainless Limited,Metals & Mining,JSL,EQ,INE220G01021,#N/A
JSW Cement Ltd.,Construction Materials,JSWCEMENT,EQ,INE718I01012,#N/A
JSW Energy Limited,Power,JSWENERGY,EQ,INE121E01018,F&O
